,USA,FEMA_1,FEMA_2,FEMA_3,FEMA_4,FEMA_5,FEMA_6,FEMA_7,FEMA_8,FEMA_9,FEMA_10,g23g33g25,g36,g51,g13,g17,g48,g29,g46,g06,g16
QPOVTY,0.3433995231436591,0.14813583314771014,0.25371523241999683,0.1716123790407398,0.288628230948662,0.24705017708035712,0.4529223664600323,0.28106511563207737,0.27046920288054,0.5062418675495188,0.38587771555039563,0.024630642480282544,0.28319888842874197,0.331006099343671,0.33146787214446605,0.42440472693980247,0.32640445178129285,0.39630137092533996,0.1449900529040044,0.1915508474107126,0.35528638245848787
QMOHO,-0.36726407723655724,-0.19815389990105522,0.06560206941065465,0.03907671132932496,0.038558241977656976,-0.24614998489415757,-0.585072167997589,-0.20434170680609726,0.2462721984976408,-0.15172663546684603,0.21343025331212875,-0.4667963664176194,-0.018566514286813635,0.2783863161821605,0.07585833632958694,0.31295453069576556,-0.4332149094541732,0.028339476808053488,0.7326004522583326,0.3048144566734855,0.4009114971059622
QED12LES_ALT,0.1400679776333331,0.42156576702325177,0.07757298280938223,0.32391420701668083,0.1360652074798191,0.2070982741716016,0.10860755757851204,0.394301711004556,0.23078177741271863,0.46016117905824333,0.3377925834047831,0.4478369574546297,0.19058617569597613,0.4876980312776257,0.27203672898023135,0.058410198126951376,0.07944349442822922,-0.053476756838857095,-0.008216341728024924,0.523531110390644,0.4222993972442274
QFEMLBR,0.5056241107661003,0.10172182852511275,0.5085360073035633,0.06993676045213165,0.16179413279704657,0.13970199457422616,0.47999474387650976,0.15852156709391807,0.7896826491861354,0.2814756795810131,0.40604641211978665,0.3031860428103969,0.44896341475264073,-0.19030668377365967,-0.30497830113411956,-0.19543435277504884,0.12970226127044582,0.5401937060606415,0.3972252969406427,-0.43176433998282937,0.3646251050671372
QEXTRCT_ALT,0.11459836718029295,0.23317165905061216,-0.1486067719669804,-0.020166180031316774,0.05660601882510785,0.3186635255699716,-0.22811075323219876,-0.05024930489633864,-0.166608267551633,-0.20543846968638013,0.05155565537949866,0.22387656465345954,0.033279540345768174,0.5137276544782892,0.5079323941878443,0.38760250106698246,0.004591095034364667,0.10819909999934117,0.15197983714632618,0.8928363610481451,0.09131543858711644
QSERV_ALT,0.6476119871113173,-0.1175116480633312,0.4277911200074428,0.6558362661352615,0.8111889439785664,0.10708576352764712,0.6145438132819251,0.20620965238998684,0.20080879110140717,0.34915615606214906,0.44294441782342364,-0.09710109833106627,-0.019499880838769773,0.23093423110086178,0.09985335805623485,0.3173055103333631,0.38827299002685445,0.2563038625028916,0.2414407367972204,0.31696868914605675,0.16270794719968618
QSSBEN,0.40225278626977407,0.46470736437142085,0.1335391383184029,0.24175156041446366,0.24886137093329722,0.308010654483004,0.33912632184685104,0.1683471381764879,0.678540387328832,0.47202254872745925,0.26781149677665184,0.499882991837603,0.3131504309947574,0.2419908011939486,0.2342597932967566,0.17706534753108694,0.26479463575761314,0.23799601090167483,0.3631364546091048,0.2618692213767964,0.16808117191613303
QNOAUTO_ALT,0.39932364640584805,0.08042666496369001,0.35273887502928625,0.09664189652245664,0.23762634955622844,0.5861180867945929,0.043824444361063114,0.3384916716851666,0.24332373221854137,0.5695722150746041,0.3188451804387768,0.0007718230708795674,0.21394226418042078,0.3100662368179139,0.31308689652913446,0.1375410952465705,0.448593515759443,0.06881838714135348,0.01536437791074198,0.4726696872830134,0.21739344446739256
QFAM,0.293890087396954,-0.09147796687976584,0.24536454768287472,0.2872508643334684,0.19536816959368591,0.38237520607189435,-0.04312515956347609,0.5047674817463846,0.18089057427532024,0.2952883883087701,0.5043285683235308,0.04807745821461468,0.5428711497786978,0.09949743106396178,0.08397016141726155,0.07126822548104199,0.44524489969172537,0.48627787726794724,0.28037392647600456,0.0515028198600464,0.5493295939917004
QRICH200K,0.21529481021776822,-0.195970168118415,0.07471593305834162,0.11990602542560731,0.2145422697689074,0.09744560808508682,0.26332602144861794,0.034461408687686074,0.3060254332592489,-0.15128536955390182,0.14983942008666068,-0.16093275957907388,0.2168995116403754,-0.042517418153083686,-0.30455882573692084,0.04418185327683185,0.15578135334949011,0.048569432783853575,0.5469086904791789,-0.1486765074416465,0.17198088030982
